indicator_name,count,mean,std,min,25%,50%,75%,max
"Gross enrolment ratio for tertiary education, both sexes (%)",26.0,61.79868199192307,6.98469105615028,56.39712906,57.6202507,59.30858612,61.1191349,80.15110016
"Proportion of 15- to 24-year-olds enrolled in vocational education, both sexes (%)",26.0,14.243790736692306,4.097773364321684,5.472360134,12.1889877325,15.23901987,17.1831245425,19.32126045
"School enrollment, primary (% gross)",26.0,102.65270497153845,2.231889946691572,99.97450256,100.621639225,102.06682205,105.266191475,105.9380722
"School enrollment, secondary (% gross)",26.0,107.43545503923077,10.763913844401198,92.50286865,100.47251895,103.0378342,114.409692775,128.755127
"School enrollment, tertiary (% gross)",26.0,61.79868199192307,6.98469105615028,56.39712906,57.6202507,59.30858612,61.1191349,80.15110016
