indicator_name,count,mean,std,min,25%,50%,75%,max
"School enrollment, primary (% gross)",26.0,102.65270497153845,2.231889946691572,99.97450256,100.621639225,102.06682205,105.266191475,105.9380722
"School enrollment, secondary (% gross)",26.0,107.43545503538462,10.763913846035408,92.50286865,100.47251895,103.03783415,114.409692775,128.755127
"School enrollment, tertiary (% gross)",26.0,61.79868199192307,6.98469105615028,56.39712906,57.6202507,59.30858612,61.1191349,80.15110016
