indicator_name,count,mean,std,min,25%,50%,75%,max
"Participation rate of youth and adults in formal and non-formal education and training in the previous 12 months, 15-24 years old, both sexes (%)",26.0,54.12615384615385,8.06213325462837,40.1,50.3525,58.365,59.644999999999996,62.0
"Participation rate of youth and adults in formal and non-formal education and training in the previous 12 months, 15-64 years old, both sexes (%)",26.0,20.736538461538466,6.276944442836941,12.35,14.025,22.009999999999998,26.15,29.6
"Participation rate of youth and adults in formal and non-formal education and training in the previous 12 months, 25-54 years old, both sexes (%)",26.0,14.729115384615387,6.2204651229754395,6.355,8.9,15.085,20.0725,24.6
"Participation rate of youth and adults in formal and non-formal education and training in the previous 12 months, 55-64 years old, both sexes (%)",26.0,7.253576923076924,4.447025308433286,1.5,2.25,8.943999999999999,11.005,12.9
